0 (69.888000000000034, -327.54587844028083, -257.6578784402808)
1 (58.87437972653013, -316.75724992511198, -257.88287019858183)
2 (35.406180605841264, -291.11823497571032, -255.71205436986907)
3 (26.930814467530041, -282.32033226181204, -255.389517794282)
4 (37.453405507730587, -294.77287476002931, -257.31946925229875)
5 (45.186649653808857, -302.2260507377128, -257.03940108390395)
6 (49.400405797719628, -305.47179742904683, -256.07139163132717)
7 (61.327829490049275, -317.49767207717969, -256.1698425871304)
8 (80.108033700776645, -337.0353749425812, -256.92734124180458)
9 (95.186936183820407, -352.57323533151964, -257.38629914769922)
10 (98.436388389657452, -356.12699352888126, -257.69060513922381)
11 (90.480985730432124, -347.09582663339637, -256.61484090296426)
12 (87.172779797856577, -344.19056083871425, -257.0177810408577)
13 (88.274948148561435, -345.61027022584852, -257.33532207728706)
14 (85.883165759741729, -343.17659400747311, -257.29342824773141)
15 (81.863291620018416, -339.18569991599918, -257.32240829598078)
16 (78.302013719840346, -334.97226660872656, -256.67025288888624)
17 (79.985762110206991, -337.73039652806892, -257.7446344178619)
18 (80.868520101758307, -337.55623570449285, -256.68771560273456)
19 (82.790112985337288, -340.76692158846464, -257.97680860312732)
20 (79.032014365604851, -335.908359037965, -256.87634467236012)
21 (81.882642747418458, -339.28087320301842, -257.39823045559996)
22 (88.108429849371845, -346.01740009865421, -257.90897024928233)
23 (84.433230830454647, -341.86708080468952, -257.43384997423487)
24 (77.824942438866927, -334.98013362300929, -257.15519118414238)
25 (75.790891238529269, -332.43080278535206, -256.63991154682276)
26 (86.431040819433662, -343.78560709935431, -257.35456627992062)
27 (98.093330874471974, -357.05527519680641, -258.96194432233443)
28 (92.376277054526923, -349.6078178057366, -257.23154075120965)
29 (83.347050318648229, -340.38567389955529, -257.03862358090703)
30 (76.950579424200058, -334.7348242462752, -257.78424482207515)
31 (70.555750735837094, -326.60943708514412, -256.05368634930704)
32 (77.315703783991609, -335.11790834823051, -257.80220456423888)
33 (84.659916088981944, -342.52663056724799, -257.86671447826603)
34 (85.230977782833989, -342.81219278883293, -257.58121500599896)
35 (85.210115510203721, -341.89467454432776, -256.68455903412405)
36 (87.866845291487422, -345.94267826191384, -258.0758329704264)
37 (83.142080332425024, -340.31176239374713, -257.16968206132208)
38 (83.272430055669858, -339.73790394609466, -256.46547389042479)
39 (92.632844449135575, -350.61120588458806, -257.97836143545248)
40 (95.461084991160945, -352.50144172364645, -257.04035673248552)
41 (95.161115924253821, -352.73933614869964, -257.57822022444583)
42 (90.103320681143657, -347.2714174866972, -257.16809680555355)
43 (84.918088718310614, -341.72648609522463, -256.808397376914)
44 (84.809546243905373, -342.07962937959758, -257.27008313569218)
45 (86.422671761980126, -343.6784244855491, -257.255752723569)
46 (84.049180441068074, -342.31823788851568, -258.26905744744761)
47 (75.312868495398632, -331.2360428310713, -255.92317433567268)
48 (77.18517397038778, -334.81078811375636, -257.62561414336858)
49 (80.804008868994174, -338.63506715757768, -257.83105828858351)
50 (78.133318698879393, -335.30570512134364, -257.17238642246423)
51 (78.817001149511384, -335.89961385040243, -257.08261270089105)
52 (84.611839868185157, -342.44287033911257, -257.83103047092743)
53 (85.221451341783649, -342.68815244208855, -257.46670110030493)
54 (84.29276612631233, -341.05364172346549, -256.76087559715313)
55 (88.570584530202837, -346.26920042223742, -257.69861589203458)
56 (91.274141614710089, -348.81886932288273, -257.54472770817267)
57 (89.850022265210782, -347.34463711158844, -257.49461484637766)
58 (86.894395058162303, -343.85448005998029, -256.96008500181802)
